scenario_id,field_name,expected_value_num,tolerance,tolerance_mode,field_index
GR_GPS_001,grav_shift_us_day,45.719299,0.01,relative,0
GR_GPS_001,net_shift_us_day,38.506242,0.01,relative,1
GR_GPS_001,velocity_shift_us_day,7.213057,0.01,relative,2
GR_ISCO_001,f_gw_hz,439.604695,0.01,relative,0
GR_ISCO_001,f_orbital_hz,219.802347,0.01,relative,1
GR_ISCO_001,r_isco_km,88.620232,0.01,relative,2
GR_PERI_001,advance_arcsec_century,42.980208,0.01,relative,0
GR_PERI_001,advance_arcsec_orbit,0.103516,0.01,relative,1
GR_PERI_001,orbits_per_century,415.203083,0.01,relative,2
QFT_CASIMIR_001,energy_per_area_uJ_m2,0.433375,0.01,relative,0
QFT_CASIMIR_001,pressure_double_d_pa,0.812579,0.01,relative,1
QFT_CASIMIR_001,pressure_pa,13.001258,0.01,relative,2
QFT_G2_001,anomaly_times_1e3,1.16141,0.01,relative,0
QFT_G2_001,g_factor,2.002323,0.01,relative,1
QFT_UNRUH_001,accel_for_1K_e20,2.466083,0.01,relative,0
QFT_UNRUH_001,unruh_temp_K,0.405501,0.01,relative,1
QFT_YUKAWA_001,mass_for_2fm_mev,98.66349,0.01,relative,0
QFT_YUKAWA_001,nonreduced_fm,8.883299,0.01,relative,1
QFT_YUKAWA_001,range_fm,1.413821,0.01,relative,2
QI_CLONE_001,classical_fidelity,0.666667,0.01,relative,0
QI_CLONE_001,optimal_fidelity,0.833333,0.01,relative,1
QI_CLONE_001,quantum_advantage,0.166667,0.01,relative,2
QI_HOLEVO_001,avg_state_purity,0.75,0.01,relative,0
QI_HOLEVO_001,eigenvalue_large,0.853553,0.01,relative,1
QI_HOLEVO_001,holevo_chi_bits,0.600876,0.01,relative,2
QI_TELEPORT_001,classical_limit,0.666667,0.01,relative,0
QI_TELEPORT_001,f_threshold,0.5,0.01,relative,1
QI_TELEPORT_001,teleport_fidelity,0.933333,0.01,relative,2
QI_WERNER_001,chsh_S_at_p05,1.414214,0.01,relative,0
QI_WERNER_001,chsh_threshold,0.707107,0.01,relative,1
QI_WERNER_001,concurrence_at_p05,0.25,0.01,relative,2
QI_WERNER_001,entanglement_threshold,0.333333,0.01,relative,3
QM_AB_001,flux_quanta,7.596337,0.01,relative,0
QM_AB_001,fringe_shift,7.596337,0.01,relative,1
QM_AB_001,total_phase_rad,47.729195,0.01,relative,2
QM_BERRY_001,berry_phase_rad,1.570796,0.01,relative,0
QM_BERRY_001,solid_angle_sr,3.141593,0.01,relative,1
QM_RT_001,energy_unit_ev,2.350189,0.02,relative,0
QM_RT_001,first_resonance_ev,11.151697,0.02,relative,1
QM_RT_001,n_lowest,3.0,0.02,relative,2
QM_TUNNEL_001,kappa_L,10.246334,0.01,relative,0
QM_TUNNEL_001,kappa_per_nm,10.246334,0.01,relative,1
QM_TUNNEL_001,log10_T,-8.491613,0.01,relative,2
QM_TUNNEL_001,prefactor,2.56,0.01,relative,3
SR_BELL_001,gamma_factor,1.666667,0.01,relative,0
SR_BELL_001,lab_separation_m,100.0,0.01,relative,1
SR_BELL_001,proper_separation_m,166.666667,0.01,relative,2
SR_FIZEAU_001,delta_v_ms,2.186093,0.01,relative,0
SR_FIZEAU_001,drag_coefficient,0.437219,0.01,relative,1
SR_ROCKET_001,distance_ly,0.563194,0.01,relative,0
SR_ROCKET_001,final_beta,0.774547,0.01,relative,1
SR_ROCKET_001,lab_time_yr,1.187045,0.01,relative,2
SR_TWIN_001,doppler_k_approach,2.0,0.01,relative,0
SR_TWIN_001,doppler_k_recede,0.5,0.01,relative,1
SR_TWIN_001,earth_time_yr,20.0,0.01,relative,2
SR_TWIN_001,traveler_time_yr,16.0,0.01,relative,3
STAT_BEC_001,phase_space_density_tc,2.612375,0.01,relative,0
STAT_BEC_001,psd_at_2tc,0.923614,0.01,relative,1
STAT_BEC_001,tc_nK,85.817924,0.01,relative,2
STAT_BEC_001,tc_no_zeta_nK,162.780255,0.01,relative,3
STAT_ISING_001,ratio_exact_mf,0.567296,0.01,relative,0
STAT_ISING_001,tc_exact,2.269185,0.01,relative,1
STAT_ISING_001,tc_meanfield,4.0,0.01,relative,2
STAT_LANDAUER_001,landauer_meV,17.919241,0.01,relative,0
STAT_LANDAUER_001,landauer_zJ,2.870979,0.01,relative,1
STAT_NEGT_001,abs_temperature_K,1.318567,0.01,relative,0
STAT_NEGT_001,temperature_K,-1.318567,0.01,relative,1
