scenario_id,field_name,field_count_gt100,field_count_gt1000,max_rel_error,median_gt100_rel_error,most_common_pattern,affected_models
QFT_UNRUH_001,unruh_temp_K,3,0,8.86434065514,5.51046483239,COMMON_FACTOR_2_OR_PI,Gemma 3 12B IT;Llama 3.1 8B Instruct;Mistral Small 3.2 24B Instruct
QI_HOLEVO_001,avg_state_purity,1,0,1.33333333333,1.33333333333,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Ministral 3 8B
QM_RT_001,energy_unit_ev,4,1,13.1265234413,5.88668017764,DECIMAL_OR_POWER_OF_TEN_SCALE,Gemma 3 12B IT;Gemma 3 27B IT;Ministral 3 8B;Mistral Small 3.2 24B Instruct
QM_RT_001,first_resonance_ev,4,2,24.8974037763,10.8067232279,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 3 27B IT;Ministral 3 8B;Mistral Small 3.2 24B Instruct
QM_TUNNEL_001,kappa_L,1,1,222.787356532,222.787356532,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT
QM_TUNNEL_001,kappa_per_nm,3,3,2635088802.47,3307.50038658,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 3 27B IT;Ministral 3 8B
QM_TUNNEL_001,log10_T,1,1,253.757252833,253.757252833,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT
SR_ROCKET_001,distance_ly,2,1,16348.9611146,8175.41878285,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT;Gemma 3 27B IT
SR_ROCKET_001,lab_time_yr,1,1,701.58499046,701.58499046,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 12B IT
STAT_BEC_001,tc_nK,3,1,18.319973296,2.88613455623,ORDER_OF_MAGNITUDE_GT10X,Gemma 3 27B IT;Gemma 4 31B IT;Mistral Small 3.2 24B Instruct
STAT_BEC_001,tc_no_zeta_nK,3,1,18.3512413407,2.90710777545,LARGE_NUMERIC_GT100PCT_UNCLASSIFIED,Gemma 3 27B IT;Gemma 4 31B IT;Mistral Small 3.2 24B Instruct
STAT_LANDAUER_001,landauer_zJ,3,1,104.887225229,9.13591530973,DECIMAL_OR_POWER_OF_TEN_SCALE,Gemma 3 12B IT;Mistral NeMo 12B;Mistral Small 3.2 24B Instruct
STAT_NEGT_001,abs_temperature_K,1,1,1068.3427031,1068.3427031,ORDER_OF_MAGNITUDE_GT10X,Mistral NeMo 12B
STAT_NEGT_001,temperature_K,1,1,1068.3427031,1068.3427031,ORDER_OF_MAGNITUDE_GT10X,Mistral NeMo 12B
