scenario_id,category,row_count,pass_count,fail_count,mean_bert_f1,median_bert_f1,min_bert_f1,max_bert_f1,PASS_mean_bert_f1,FAIL_mean_bert_f1,PASS_minus_FAIL_mean_gap,simple_effect_size
GR_ISCO_001,General Relativity,8,0,8,0.4552907473407686,0.6848296225070953,-0.30632033944129944,0.8611571788787842,,0.4552907473407686,,
GR_PERI_001,General Relativity,8,1,7,0.5136328395456076,0.5582724213600159,-0.21232415735721588,0.8559378385543823,0.3816910982131958,0.5324816597359521,-0.15079056152275627,-0.6059914598456262
QFT_CASIMIR_001,Quantum Field Theory,8,1,7,0.4215987124480307,0.4665696918964386,-0.04036323353648186,0.585877001285553,-0.04036323353648186,0.48759327616010395,-0.5279565096965858,-9.940545044625898
QFT_G2_001,Quantum Field Theory,8,3,5,0.508272900711745,0.4839487820863724,-0.0167066790163517,0.8484087586402893,0.35783299679557484,0.5985368430614472,-0.24070384626587232,-1.0334286332161984
QFT_UNRUH_001,Quantum Field Theory,7,2,5,0.6619179993867874,0.7297120690345764,0.20461957156658173,0.9141583442687988,0.7412772476673126,0.6301743000745773,0.11110294759273531,0.5650270413823948
QFT_YUKAWA_001,Quantum Field Theory,8,7,1,0.7817927403375506,0.9089405238628387,-0.08787588030099869,0.9345241189002991,0.7702170812657901,0.8628223538398743,-0.09260527257408413,-0.37281430794733184
QI_CLONE_001,Quantum Information Theory,8,8,0,0.6776327905245125,0.8466821610927582,0.039077017456293106,0.922784686088562,0.6776327905245125,,,
QI_HOLEVO_001,Quantum Information Theory,8,2,6,0.5821383185684681,0.7068676054477692,-0.38166603446006775,0.8941633701324463,0.7643738687038422,0.5213931351900101,0.2429807335138321,0.7772388875895875
QI_TELEPORT_001,Quantum Information Theory,8,6,2,0.7823783718049526,0.858760803937912,0.15785351395606995,0.901260495185852,0.7569175610939661,0.858760803937912,-0.10184324284394586,-0.5348044106787637
QI_WERNER_001,Quantum Information Theory,8,6,2,0.8015159126371145,0.8886983692646027,0.172477588057518,0.9237145185470581,0.7790244991580645,0.8689901530742645,-0.08996565391620004,-0.4677472915968857
QM_AB_001,Quantum Mechanics,8,4,4,0.7434889320284128,0.8744080066680908,-0.1721431463956833,0.9239271283149719,0.6261946596205235,0.8607832044363022,-0.23458854481577873,-0.7177167170879344
QM_BERRY_001,Quantum Mechanics,8,8,0,0.7478335676714778,0.8734301030635834,-0.11703328043222427,0.8970624804496765,0.7478335676714778,,,
QM_RT_001,Quantum Mechanics,8,1,7,0.6575434375554323,0.8774038851261139,-0.2483523190021515,0.9046378135681152,0.8977253437042236,0.6232317366770336,0.27449360702719006,0.9086047122792273
QM_TUNNEL_001,Quantum Mechanics,7,1,6,0.7174609005451202,0.770108163356781,0.3922930061817169,0.8326167464256287,0.8244986534118652,0.6996212750673294,0.12487737834453583,1.2077549945671662
SR_BELL_001,Special Relativity,8,8,0,0.7288300946820527,0.8651832342147827,-0.017498468980193138,0.9345576763153076,0.7288300946820527,,,
SR_FIZEAU_001,Special Relativity,8,8,0,0.6934630055911839,0.8863687217235565,-0.057818617671728134,0.9228676557540894,0.6934630055911839,,,
SR_ROCKET_001,Special Relativity,8,1,7,0.5410961266607046,0.758100837469101,-0.2188279777765274,0.9328727126121521,0.9191092848777771,0.48709424691540854,0.43201503796236856,1.334747236685276
SR_TWIN_001,Special Relativity,8,6,2,0.7599528189748526,0.8764655590057373,-0.16293056309223175,0.9403209090232849,0.7136130208770434,0.89897221326828,-0.18535919239123666,-0.6653301594334463
STAT_BEC_001,Statistical Mechanics,6,0,6,0.5893017674485842,0.6969547271728516,-0.02937813103199005,0.8608234524726868,,0.5893017674485842,,
STAT_ISING_001,Statistical Mechanics,8,7,1,0.7256584838032722,0.8112894892692566,0.2781447172164917,0.8867239952087402,0.705456052507673,0.867075502872467,-0.16161945036479408,-1.122539771071309
STAT_LANDAUER_001,Statistical Mechanics,8,2,6,0.6160103986039758,0.7616133987903595,-0.09831004589796066,0.895334780216217,0.289728257805109,0.724771112203598,-0.435042854398489,-1.36530847357982
STAT_NEGT_001,Statistical Mechanics,8,6,2,0.45814510295167565,0.47432124614715576,-0.016861718147993088,0.6867386102676392,0.43685111217200756,0.5220270752906799,-0.08517596311867237,-0.4360277769597489
