run_id,model_name,block_status,field_index,field_name,raw_value,value_num,value_status
15,Llama 3.1 8B Instruct,OK,3,precession_per_period_deg,14.16,14.16,NUMERIC
16,Llama 3.1 8B Instruct,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
16,Llama 3.1 8B Instruct,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
16,Llama 3.1 8B Instruct,OK,2,apsidal_n_minus1_deg,63.435,63.435,NUMERIC
16,Llama 3.1 8B Instruct,OK,3,precession_per_period_deg,\mathrm{INVALID},,UNSUPPORTED
17,Ministral 3 8B,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
17,Ministral 3 8B,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
17,Ministral 3 8B,OK,2,apsidal_n_minus1_deg,128.87,128.87,NUMERIC
17,Ministral 3 8B,OK,3,precession_per_period_deg,102.26,102.26,NUMERIC
18,Ministral 3 8B,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
18,Ministral 3 8B,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
18,Ministral 3 8B,OK,2,apsidal_n_minus1_deg,127.32,127.32,NUMERIC
18,Ministral 3 8B,OK,3,precession_per_period_deg,105.36,105.36,NUMERIC
19,Ministral 3 8B,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
19,Ministral 3 8B,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
19,Ministral 3 8B,OK,2,apsidal_n_minus1_deg,127.32,127.32,NUMERIC
19,Ministral 3 8B,OK,3,precession_per_period_deg,105.36,105.36,NUMERIC
20,Ministral 3 8B,CONFLICT,0,apsidal_kepler_deg,180,180.0,NUMERIC
20,Ministral 3 8B,CONFLICT,1,apsidal_harmonic_deg,90,90.0,NUMERIC
20,Ministral 3 8B,CONFLICT,2,apsidal_n_minus1_deg,\boxed{128.7},128.7,NUMERIC
20,Ministral 3 8B,CONFLICT,3,precession_per_period_deg,\boxed{102.6},102.6,NUMERIC
21,Mistral NeMo 12B,OK,0,apsidal_kepler_deg,180^\circ,180.0,NUMERIC
21,Mistral NeMo 12B,OK,1,apsidal_harmonic_deg,360^\circ,360.0,NUMERIC
21,Mistral NeMo 12B,OK,2,apsidal_n_minus1_deg,127.3^\circ,127.3,NUMERIC
21,Mistral NeMo 12B,OK,3,precession_per_period_deg,-232.7^\circ,-232.7,NUMERIC
22,Mistral NeMo 12B,OK,0,apsidal_kepler_deg,180^\circ,180.0,NUMERIC
22,Mistral NeMo 12B,OK,1,apsidal_harmonic_deg,90^\circ,90.0,NUMERIC
22,Mistral NeMo 12B,OK,2,apsidal_n_minus1_deg,135^\circ,135.0,NUMERIC
22,Mistral NeMo 12B,OK,3,precession_per_period_deg,-90^\circ,-90.0,NUMERIC
23,Mistral NeMo 12B,OK,0,apsidal_kepler_deg,180^\circ,180.0,NUMERIC
23,Mistral NeMo 12B,OK,1,apsidal_harmonic_deg,360^\circ,360.0,NUMERIC
23,Mistral NeMo 12B,OK,2,apsidal_n_minus1_deg,127.3^\circ,127.3,NUMERIC
23,Mistral NeMo 12B,OK,3,precession_per_period_deg,-232.7^\circ,-232.7,NUMERIC
24,Mistral NeMo 12B,OK,0,apsidal_kepler_deg,180^\circ,180.0,NUMERIC
24,Mistral NeMo 12B,OK,1,apsidal_harmonic_deg,127.3^\circ,127.3,NUMERIC
24,Mistral NeMo 12B,OK,2,apsidal_n_minus1_deg,127.3^\circ,127.3,NUMERIC
24,Mistral NeMo 12B,OK,3,precession_per_period_deg,\mathrm{INVALID},,UNSUPPORTED
25,Mistral Small 3.2 24B Instruct,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
25,Mistral Small 3.2 24B Instruct,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
25,Mistral Small 3.2 24B Instruct,OK,2,apsidal_n_minus1_deg,127.28,127.28,NUMERIC
25,Mistral Small 3.2 24B Instruct,OK,3,precession_per_period_deg,-105.44,-105.44,NUMERIC
26,Mistral Small 3.2 24B Instruct,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
26,Mistral Small 3.2 24B Instruct,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
26,Mistral Small 3.2 24B Instruct,OK,2,apsidal_n_minus1_deg,127.28,127.28,NUMERIC
26,Mistral Small 3.2 24B Instruct,OK,3,precession_per_period_deg,-105.44,-105.44,NUMERIC
27,NVIDIA Nemotron 3 Nano 30B-A3B,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
27,NVIDIA Nemotron 3 Nano 30B-A3B,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
27,NVIDIA Nemotron 3 Nano 30B-A3B,OK,2,apsidal_n_minus1_deg,180/\sqrt{2},,UNSUPPORTED
27,NVIDIA Nemotron 3 Nano 30B-A3B,OK,3,precession_per_period_deg,360\left(\frac{1}{\sqrt{2}} - 1\right),,UNSUPPORTED
28,NVIDIA Nemotron 3 Nano 30B-A3B,OK,0,apsidal_kepler_deg,180,180.0,NUMERIC
28,NVIDIA Nemotron 3 Nano 30B-A3B,OK,1,apsidal_harmonic_deg,90,90.0,NUMERIC
28,NVIDIA Nemotron 3 Nano 30B-A3B,OK,2,apsidal_n_minus1_deg,90\sqrt{2},,UNSUPPORTED
28,NVIDIA Nemotron 3 Nano 30B-A3B,OK,3,precession_per_period_deg,180\sqrt{2} - 360,,UNSUPPORTED
33,Gemma 3 12B IT,OK,0,rate_deg_per_day,271.51,271.51,NUMERIC
33,Gemma 3 12B IT,OK,1,rate_deg_per_hour,11.313,11.313,NUMERIC
33,Gemma 3 12B IT,OK,2,period_hours,31.86,31.86,NUMERIC
34,Gemma 3 12B IT,OK,0,rate_deg_per_day,270,270.0,NUMERIC
34,Gemma 3 12B IT,OK,1,rate_deg_per_hour,11.26,11.26,NUMERIC
34,Gemma 3 12B IT,OK,2,period_hours,31.96,31.96,NUMERIC
35,Gemma 3 12B IT,OK,0,rate_deg_per_day,271.44,271.44,NUMERIC
35,Gemma 3 12B IT,OK,1,rate_deg_per_hour,11.31,11.31,NUMERIC
35,Gemma 3 12B IT,OK,2,period_hours,31.84,31.84,NUMERIC
36,Gemma 3 27B IT,OK,0,rate_deg_per_day,271.44,271.44,NUMERIC
36,Gemma 3 27B IT,OK,1,rate_deg_per_hour,11.31,11.31,NUMERIC
36,Gemma 3 27B IT,OK,2,period_hours,31.83,31.83,NUMERIC
37,Gemma 4 31B IT,OK,0,rate_deg_per_day,271.044,271.044,NUMERIC
37,Gemma 4 31B IT,OK,1,rate_deg_per_hour,11.2935,11.2935,NUMERIC
37,Gemma 4 31B IT,OK,2,period_hours,31.876,31.876,NUMERIC
38,Granite 4.1 8B,OK,0,rate_deg_per_day,271.7,271.7,NUMERIC
38,Granite 4.1 8B,OK,1,rate_deg_per_hour,11.32,11.32,NUMERIC
38,Granite 4.1 8B,OK,2,period_hours,31.8,31.8,NUMERIC
39,Granite 4.1 8B,OK,0,rate_deg_per_day,271.7,271.7,NUMERIC
39,Granite 4.1 8B,OK,1,rate_deg_per_hour,11.32,11.32,NUMERIC
39,Granite 4.1 8B,OK,2,period_hours,31.8,31.8,NUMERIC
40,Granite 4.1 8B,OK,0,rate_deg_per_day,271.7,271.7,NUMERIC
40,Granite 4.1 8B,OK,1,rate_deg_per_hour,11.32,11.32,NUMERIC
40,Granite 4.1 8B,OK,2,period_hours,31.8,31.8,NUMERIC
42,Llama 3.1 8B Instruct,OK,0,rate_deg_per_day,15.04,15.04,NUMERIC
42,Llama 3.1 8B Instruct,OK,1,rate_deg_per_hour,0.625,0.625,NUMERIC
42,Llama 3.1 8B Instruct,OK,2,period_hours,24 / 0.625 = 38.4,38.4,NUMERIC
43,Llama 3.1 8B Instruct,OK,0,rate_deg_per_day,0.52,0.52,NUMERIC
43,Llama 3.1 8B Instruct,OK,1,rate_deg_per_hour,12.46,12.46,NUMERIC
43,Llama 3.1 8B Instruct,OK,2,period_hours,28.5,28.5,NUMERIC
44,Ministral 3 8B,OK,0,rate_deg_per_day,"271.7^\circ/\text{day},",,UNSUPPORTED
44,Ministral 3 8B,OK,1,rate_deg_per_hour,"11.32^\circ/\text{hour},",,UNSUPPORTED
44,Ministral 3 8B,OK,2,period_hours,31.8 \text{ hours}.,31.8,NUMERIC
45,Ministral 3 8B,OK,0,rate_deg_per_day,271.68,271.68,NUMERIC
45,Ministral 3 8B,OK,1,rate_deg_per_hour,11.32,11.32,NUMERIC
45,Ministral 3 8B,OK,2,period_hours,31.8,31.8,NUMERIC
46,Ministral 3 8B,OK,0,rate_deg_per_day,271.29,271.29,NUMERIC
46,Ministral 3 8B,OK,1,rate_deg_per_hour,11.304,11.304,NUMERIC
46,Ministral 3 8B,OK,2,period_hours,31.84,31.84,NUMERIC
47,Mistral NeMo 12B,OK,0,rate_deg_per_day,267.528^\circ/\text{day},,UNSUPPORTED
47,Mistral NeMo 12B,OK,1,rate_deg_per_hour,11.147^\circ/\text{h},,UNSUPPORTED
47,Mistral NeMo 12B,OK,2,period_hours,32.35 \text{ h},32.35,NUMERIC
48,Mistral NeMo 12B,OK,0,rate_deg_per_day,267.516^\circ/\text{day},,UNSUPPORTED
48,Mistral NeMo 12B,OK,1,rate_deg_per_hour,11.1465^\circ/\text{h},,UNSUPPORTED
48,Mistral NeMo 12B,OK,2,period_hours,32.35 \text{ h},32.35,NUMERIC
49,Mistral NeMo 12B,OK,0,rate_deg_per_day,283.2^\circ/\text{day},,UNSUPPORTED
49,Mistral NeMo 12B,OK,1,rate_deg_per_hour,11.8^\circ/\text{hour},,UNSUPPORTED
49,Mistral NeMo 12B,OK,2,period_hours,30.5 \text{ hours},30.5,NUMERIC
50,Mistral Small 3.2 24B Instruct,OK,0,rate_deg_per_day,271.3,271.3,NUMERIC
50,Mistral Small 3.2 24B Instruct,OK,1,rate_deg_per_hour,11.304,11.304,NUMERIC
50,Mistral Small 3.2 24B Instruct,OK,2,period_hours,31.85,31.85,NUMERIC
51,NVIDIA Nemotron 3 Nano 30B-A3B,CONFLICT,0,rate_deg_per_day,271.076,271.076,NUMERIC
51,NVIDIA Nemotron 3 Nano 30B-A3B,CONFLICT,1,rate_deg_per_hour,11.295,11.295,NUMERIC
51,NVIDIA Nemotron 3 Nano 30B-A3B,CONFLICT,2,period_hours,31.873,31.873,NUMERIC
54,Gemma 3 12B IT,OK,0,omega_min_rad_s,99.05,99.05,NUMERIC
54,Gemma 3 12B IT,OK,1,f_min_hz,15.71,15.71,NUMERIC
55,Gemma 3 12B IT,OK,0,omega_min_rad_s,99.045,99.045,NUMERIC
55,Gemma 3 12B IT,OK,1,f_min_hz,15.76,15.76,NUMERIC
56,Gemma 3 12B IT,OK,0,omega_min_rad_s,99.05,99.05,NUMERIC
56,Gemma 3 12B IT,OK,1,f_min_hz,15.76,15.76,NUMERIC
57,Gemma 3 27B IT,OK,0,omega_min_rad_s,99.045,99.045,NUMERIC
57,Gemma 3 27B IT,OK,1,f_min_hz,15.76,15.76,NUMERIC
58,Gemma 4 31B IT,OK,0,omega_min_rad_s,99.045,99.045,NUMERIC
58,Gemma 4 31B IT,OK,1,f_min_hz,15.765,15.765,NUMERIC
59,Granite 4.1 8B,OK,0,omega_min_rad_s,99.05,99.05,NUMERIC
59,Granite 4.1 8B,OK,1,f_min_hz,15.77,15.77,NUMERIC
60,Granite 4.1 8B,OK,0,omega_min_rad_s,99.05,99.05,NUMERIC
60,Granite 4.1 8B,OK,1,f_min_hz,15.77,15.77,NUMERIC
61,Granite 4.1 8B,OK,0,omega_min_rad_s,99.05,99.05,NUMERIC
61,Granite 4.1 8B,OK,1,f_min_hz,15.77,15.77,NUMERIC
62,Llama 3.1 8B Instruct,OK,0,omega_min_rad_s,\sqrt{\frac{9.81}{2 \cdot 0.2}},,UNSUPPORTED
62,Llama 3.1 8B Instruct,OK,1,f_min_hz,\frac{\sqrt{\frac{9.81}{2 \cdot 0.2}}}{2\pi},,UNSUPPORTED
63,Llama 3.1 8B Instruct,OK,0,omega_min_rad_s,\sqrt{\frac{2 \cdot 9.81}{0.200}},,UNSUPPORTED
63,Llama 3.1 8B Instruct,OK,1,f_min_hz,\frac{\sqrt{\frac{2 \cdot 9.81}{0.200}}}{2\pi},,UNSUPPORTED
64,Llama 3.1 8B Instruct,OK,0,omega_min_rad_s,99.0,99.0,NUMERIC
64,Llama 3.1 8B Instruct,OK,1,f_min_hz,15.8,15.8,NUMERIC
66,Ministral 3 8B,OK,0,omega_min_rad_s,"\sqrt{\dfrac{2 g L}{a^2}} = \sqrt{\dfrac{2 \times 9.81 \times 0.200}{(0.0200)^2}} = 99.04 \, \text{rad/s},",99.04,NUMERIC
66,Ministral 3 8B,OK,1,f_min_hz,"\dfrac{\omega_{\text{min}}}{2 \pi} = \dfrac{99.04}{2 \pi} \approx 15.76 \, \text{Hz}.",15.76,NUMERIC
67,Ministral 3 8B,OK,0,omega_min_rad_s,99.04,99.04,NUMERIC
67,Ministral 3 8B,OK,1,f_min_hz,15.76,15.76,NUMERIC
68,Mistral NeMo 12B,OK,0,omega_min_rad_s,\sqrt{\frac{2 \times 9.81 \times 0.200}{0.0200^2}} \approx 157.1 \text{ rad/s},157.1,NUMERIC
68,Mistral NeMo 12B,OK,1,f_min_hz,\frac{157.1}{2\pi} \approx 25.1 \text{ Hz},25.1,NUMERIC
69,Mistral NeMo 12B,OK,0,omega_min_rad_s,157.1,157.1,NUMERIC
69,Mistral NeMo 12B,OK,1,f_min_hz,25.1,25.1,NUMERIC
70,Mistral NeMo 12B,OK,0,omega_min_rad_s,9.90,9.9,NUMERIC
70,Mistral NeMo 12B,OK,1,f_min_hz,1.57,1.57,NUMERIC
71,Mistral Small 3.2 24B Instruct,OK,0,omega_min_rad_s,99.05,99.05,NUMERIC
71,Mistral Small 3.2 24B Instruct,OK,1,f_min_hz,15.76,15.76,NUMERIC
72,NVIDIA Nemotron 3 Nano 30B-A3B,OK,0,omega_min_rad_s,99.0,99.0,NUMERIC
72,NVIDIA Nemotron 3 Nano 30B-A3B,OK,1,f_min_hz,15.8,15.8,NUMERIC
75,Gemma 3 12B IT,OK,0,precession_rad_s,4.0875,4.0875,NUMERIC
75,Gemma 3 12B IT,OK,1,precession_period_s,1.548,1.548,NUMERIC
75,Gemma 3 12B IT,OK,2,precession_double_spin,2.04375,2.04375,NUMERIC
76,Gemma 3 12B IT,OK,0,precession_rad_s,4.0875,4.0875,NUMERIC
76,Gemma 3 12B IT,OK,1,precession_period_s,1.548,1.548,NUMERIC
76,Gemma 3 12B IT,OK,2,precession_double_spin,2.04375,2.04375,NUMERIC
77,Gemma 3 12B IT,OK,0,precession_rad_s,4.0875,4.0875,NUMERIC
77,Gemma 3 12B IT,OK,1,precession_period_s,1.542,1.542,NUMERIC
77,Gemma 3 12B IT,OK,2,precession_double_spin,2.04375,2.04375,NUMERIC
78,Gemma 3 27B IT,OK,0,precession_rad_s,4.0875,4.0875,NUMERIC
78,Gemma 3 27B IT,OK,1,precession_period_s,1.538,1.538,NUMERIC
78,Gemma 3 27B IT,OK,2,precession_double_spin,2.04375,2.04375,NUMERIC
79,Gemma 4 31B IT,OK,0,precession_rad_s,4.0875,4.0875,NUMERIC
79,Gemma 4 31B IT,OK,1,precession_period_s,1.537,1.537,NUMERIC
79,Gemma 4 31B IT,OK,2,precession_double_spin,2.04375,2.04375,NUMERIC
80,Granite 4.1 8B,OK,0,precession_rad_s,40.875,40.875,NUMERIC
80,Granite 4.1 8B,OK,1,precession_period_s,0.154,0.154,NUMERIC
80,Granite 4.1 8B,OK,2,precession_double_spin,20.438,20.438,NUMERIC
81,Granite 4.1 8B,OK,0,precession_rad_s,40.875,40.875,NUMERIC
81,Granite 4.1 8B,OK,1,precession_period_s,0.154,0.154,NUMERIC
81,Granite 4.1 8B,OK,2,precession_double_spin,20.438,20.438,NUMERIC
82,Llama 3.1 8B Instruct,OK,0,precession_rad_s,1.64,1.64,NUMERIC
82,Llama 3.1 8B Instruct,OK,1,precession_period_s,0.609,0.609,NUMERIC
82,Llama 3.1 8B Instruct,OK,2,precession_double_spin,0.82,0.82,NUMERIC
83,Llama 3.1 8B Instruct,OK,0,precession_rad_s,1.64,1.64,NUMERIC
83,Llama 3.1 8B Instruct,OK,1,precession_period_s,0.609,0.609,NUMERIC
83,Llama 3.1 8B Instruct,OK,2,precession_double_spin,0.82,0.82,NUMERIC
84,Llama 3.1 8B Instruct,OK,0,precession_rad_s,0.0163,0.0163,NUMERIC
84,Llama 3.1 8B Instruct,OK,1,precession_period_s,384,384.0,NUMERIC
84,Llama 3.1 8B Instruct,OK,2,precession_double_spin,0.0041,0.0041,NUMERIC
85,Ministral 3 8B,OK,0,precession_rad_s,4.0875,4.0875,NUMERIC
85,Ministral 3 8B,OK,1,precession_period_s,1.537,1.537,NUMERIC
85,Ministral 3 8B,OK,2,precession_double_spin,2.04375,2.04375,NUMERIC
86,Ministral 3 8B,OK,0,precession_rad_s,4.0875,4.0875,NUMERIC
86,Ministral 3 8B,OK,1,precession_period_s,1.538,1.538,NUMERIC
86,Ministral 3 8B,OK,2,precession_double_spin,2.04375,2.04375,NUMERIC
87,Ministral 3 8B,OK,0,precession_rad_s,"4.09 \, \mathrm{rad/s}",4.09,NUMERIC
87,Ministral 3 8B,OK,1,precession_period_s,"1.53 \, \mathrm{s}",1.53,NUMERIC
87,Ministral 3 8B,OK,2,precession_double_spin,"2.04 \, \mathrm{rad/s}",2.04,NUMERIC
88,Mistral NeMo 12B,OK,0,precession_rad_s,0.8175,0.8175,NUMERIC
88,Mistral NeMo 12B,OK,1,precession_period_s,7.64,7.64,NUMERIC
88,Mistral NeMo 12B,OK,2,precession_double_spin,1.635,1.635,NUMERIC
89,Mistral NeMo 12B,OK,0,precession_rad_s,0.817 \text{ rad/s},0.817,NUMERIC
89,Mistral NeMo 12B,OK,1,precession_period_s,7.64 \text{ s},7.64,NUMERIC
89,Mistral NeMo 12B,OK,2,precession_double_spin,0.408 \text{ rad/s},0.408,NUMERIC
90,Mistral NeMo 12B,OK,0,precession_rad_s,0.0327 \text{ rad/s},0.0327,NUMERIC
90,Mistral NeMo 12B,OK,1,precession_period_s,192.3 \text{ s},192.3,NUMERIC
90,Mistral NeMo 12B,OK,2,precession_double_spin,0.01635 \text{ rad/s},0.01635,NUMERIC
91,Mistral Small 3.2 24B Instruct,OK,0,precession_rad_s,4.0875,4.0875,NUMERIC
91,Mistral Small 3.2 24B Instruct,OK,1,precession_period_s,1.526,1.526,NUMERIC
91,Mistral Small 3.2 24B Instruct,OK,2,precession_double_spin,2.04375,2.04375,NUMERIC
92,NVIDIA Nemotron 3 Nano 30B-A3B,OK,0,precession_rad_s,4.09,4.09,NUMERIC
92,NVIDIA Nemotron 3 Nano 30B-A3B,OK,1,precession_period_s,1.54,1.54,NUMERIC
92,NVIDIA Nemotron 3 Nano 30B-A3B,OK,2,precession_double_spin,2.04,2.04,NUMERIC
95,Gemma 3 12B IT,OK,0,hubble_time_gyr,14.0,14.0,NUMERIC
95,Gemma 3 12B IT,OK,1,matter_age_gyr,0.93,0.93,NUMERIC
95,Gemma 3 12B IT,OK,2,lcdm_age_gyr,13.4,13.4,NUMERIC
96,Gemma 3 12B IT,OK,0,hubble_time_gyr,14.0,14.0,NUMERIC
96,Gemma 3 12B IT,OK,1,matter_age_gyr,0.93,0.93,NUMERIC
96,Gemma 3 12B IT,OK,2,lcdm_age_gyr,1.42,1.42,NUMERIC
97,Gemma 3 27B IT,OK,0,hubble_time_gyr,13.7,13.7,NUMERIC
97,Gemma 3 27B IT,OK,1,matter_age_gyr,9.13,9.13,NUMERIC
97,Gemma 3 27B IT,OK,2,lcdm_age_gyr,13.8,13.8,NUMERIC
98,Gemma 4 31B IT,OK,0,hubble_time_gyr,13.969,13.969,NUMERIC
98,Gemma 4 31B IT,OK,1,matter_age_gyr,9.313,9.313,NUMERIC
98,Gemma 4 31B IT,OK,2,lcdm_age_gyr,13.467,13.467,NUMERIC
99,Granite 4.1 8B,OK,0,hubble_time_gyr,14.7,14.7,NUMERIC
99,Granite 4.1 8B,OK,1,matter_age_gyr,9.8,9.8,NUMERIC
99,Granite 4.1 8B,OK,2,lcdm_age_gyr,13.9,13.9,NUMERIC
100,Granite 4.1 8B,OK,0,hubble_time_gyr,14.7,14.7,NUMERIC
100,Granite 4.1 8B,OK,1,matter_age_gyr,9.8,9.8,NUMERIC
100,Granite 4.1 8B,OK,2,lcdm_age_gyr,13.8,13.8,NUMERIC
101,Granite 4.1 8B,OK,0,hubble_time_gyr,13.2,13.2,NUMERIC
101,Granite 4.1 8B,OK,1,matter_age_gyr,8.8,8.8,NUMERIC
101,Granite 4.1 8B,OK,2,lcdm_age_gyr,13.4,13.4,NUMERIC
102,Llama 3.1 8B Instruct,OK,0,hubble_time_gyr,1.39,1.39,NUMERIC
102,Llama 3.1 8B Instruct,OK,1,matter_age_gyr,0.96,0.96,NUMERIC
102,Llama 3.1 8B Instruct,OK,2,lcdm_age_gyr,13.8,13.8,NUMERIC
103,Llama 3.1 8B Instruct,OK,0,hubble_time_gyr,13.96,13.96,NUMERIC
103,Llama 3.1 8B Instruct,OK,1,matter_age_gyr,9.31,9.31,NUMERIC
103,Llama 3.1 8B Instruct,OK,2,lcdm_age_gyr,13.85,13.85,NUMERIC
104,Llama 3.1 8B Instruct,OK,0,hubble_time_gyr,14.00,14.0,NUMERIC
104,Llama 3.1 8B Instruct,OK,1,matter_age_gyr,9.33,9.33,NUMERIC
104,Llama 3.1 8B Instruct,OK,2,lcdm_age_gyr,14.00,14.0,NUMERIC
105,Ministral 3 8B,OK,0,hubble_time_gyr,13.98,13.98,NUMERIC
105,Ministral 3 8B,OK,1,matter_age_gyr,9.32,9.32,NUMERIC
105,Ministral 3 8B,OK,2,lcdm_age_gyr,13.22,13.22,NUMERIC
106,Ministral 3 8B,OK,0,hubble_time_gyr,13.97,13.97,NUMERIC
106,Ministral 3 8B,OK,1,matter_age_gyr,9.31,9.31,NUMERIC
106,Ministral 3 8B,OK,2,lcdm_age_gyr,13.05,13.05,NUMERIC
107,Ministral 3 8B,OK,0,hubble_time_gyr,13.78,13.78,NUMERIC
107,Ministral 3 8B,OK,1,matter_age_gyr,9.19,9.19,NUMERIC
