scenario_id,field_name,numeric_field_count,included_count,excluded_count,mean_rel_error,median_rel_error,p90_rel_error,p95_rel_error,max_rel_error,fields_with_rel_error_lte_1_percent,fields_with_rel_error_lte_1_25_percent,fields_with_rel_error_lte_2_percent,fields_with_rel_error_lte_3_percent,fields_with_rel_error_lte_5_percent,fields_with_rel_error_gt_10_percent,fields_with_rel_error_gt_100_percent
SR_TWIN_001,traveler_time_yr,8,8,0,0.1375,0,0.53,0.565,0.6,6,6,6,6,6,2,0
STAT_BEC_001,phase_space_density_tc,6,6,0,0.00014354753816,0.00014354753816,0.00014354753816,0.00014354753816,0.00014354753816,6,6,6,6,6,0,0
STAT_BEC_001,psd_at_2tc,6,6,0,0.130646207904,0.000664779875576,0.39085592033,0.585951490558,0.781047060785,5,5,5,5,5,1,0
STAT_BEC_001,tc_nK,6,6,0,4.10494889156,1.0607341189,10.6030539261,14.4615136111,18.319973296,0,0,0,0,0,6,3
STAT_BEC_001,tc_no_zeta_nK,6,6,0,4.11295941063,1.05777571119,10.6291745581,14.4902079494,18.3512413407,0,0,0,0,0,6,3
STAT_ISING_001,ratio_exact_mf,8,8,0,0.0761148060272,0.000521773465704,0.182071440659,0.393879385717,0.605687330776,7,7,7,7,7,1,0
STAT_ISING_001,tc_exact,8,8,0,0.075760973323,8.15270680882e-05,0.181736614688,0.393667550244,0.6055984858,7,7,7,7,7,1,0
STAT_ISING_001,tc_meanfield,8,8,0,0,0,0,0,0,8,8,8,8,8,0,0
STAT_LANDAUER_001,landauer_meV,8,8,0,0.568887543842,0.605215365986,0.998575274478,0.99878817412,0.999001073762,2,2,2,2,2,6,0
STAT_LANDAUER_001,landauer_zJ,8,8,0,15.4611893713,0.367288997934,37.8613082855,71.3742667573,104.887225229,4,4,4,4,4,4,3
STAT_NEGT_001,abs_temperature_K,8,8,0,133.577916784,0.00108678588195,320.694688248,694.518695674,1068.3427031,6,6,6,6,6,2,1
STAT_NEGT_001,temperature_K,8,8,0,133.577916784,0.00108678588195,320.694688248,694.518695674,1068.3427031,6,6,6,6,6,2,1
