span_id,run_id,span_type,status,method,raw_text,normalized_text
16,1,inline_math,TRIVIAL,none,k,
17,1,inline_math,REAL,pylatexenc,n = -2,n = -2
18,1,inline_math,REAL,pylatexenc,\Phi,Φ
19,1,inline_math,REAL,pylatexenc,n = -2,n = -2
20,1,inline_math,REAL,pylatexenc,\Phi = 180^\circ,Φ= 180^∘
21,1,inline_math,REAL,pylatexenc,n = +1,n = +1
22,1,inline_math,REAL,pylatexenc,\Phi = 90^\circ,Φ= 90^∘
23,1,inline_math,REAL,pylatexenc,n = -1,n = -1
24,1,inline_math,REAL,pylatexenc,\Phi \approx 127.28^\circ,Φ≈127.28^∘
25,1,inline_math,REAL,pylatexenc,n \le -3,n ≤-3
26,1,inline_math,REAL,pylatexenc,n \le -3,n ≤-3
27,1,inline_math,REAL,pylatexenc,\Phi,Φ
28,1,inline_math,REAL,pylatexenc,n \le -3,n ≤-3
29,1,inline_math,TRIVIAL,none,r,
30,2,display_math,REAL,pylatexenc,"\[
\begin{aligned}
\mathrm{apsidal\_kepler\_deg} &= 180 \\
\mathrm{apsidal\_harmonic\_deg} &= 90 \\
\mathrm{apsidal\_n\_minus1\_deg} &= 127.28 \\
\mathrm{precession\_per\_period\_deg} &= -105.44
\end{aligned}
\]",apsidal_kepler_deg = 180 apsidal_harmonic_deg = 90 apsidal_n_minus1_deg = 127.28 precession_per_period_deg = -105.44
31,2,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+n},Φ= π/√(3+n)
32,2,inline_math,REAL,pylatexenc,n = -2,n = -2
33,2,inline_math,REAL,pylatexenc,\Phi = \pi / \sqrt{3 + (-2)} = \pi / \sqrt{1} = \pi,Φ= π/ √(3 + (-2)) = π/ √(1) = π
34,2,inline_math,REAL,pylatexenc,\Phi = \pi \times \frac{180}{\pi} = 180^\circ,Φ= π×180/π = 180^∘
35,2,inline_math,REAL,pylatexenc,n = +1,n = +1
36,2,inline_math,REAL,pylatexenc,\Phi = \pi / \sqrt{3 + 1} = \pi / \sqrt{4} = \pi / 2,Φ= π/ √(3 + 1) = π/ √(4) = π/ 2
37,2,inline_math,REAL,pylatexenc,\Phi = (\pi / 2) \times \frac{180}{\pi} = 90^\circ,Φ= (π/ 2) ×180/π = 90^∘
38,2,inline_math,REAL,pylatexenc,n = -1,n = -1
39,2,inline_math,REAL,pylatexenc,\Phi = \pi / \sqrt{3 + (-1)} = \pi / \sqrt{2},Φ= π/ √(3 + (-1)) = π/ √(2)
40,2,inline_math,REAL,pylatexenc,\Phi = (\pi / \sqrt{2}) \times \frac{180}{\pi} = \frac{180}{\sqrt{2}} = 90\sqrt{2} \approx 127.28^\circ,Φ= (π/ √(2)) ×180/π = 180/√(2) = 90√(2) ≈127.28^∘
41,2,inline_math,REAL,pylatexenc,n = -1,n = -1
42,2,inline_math,REAL,pylatexenc,2\Phi - 360^\circ,2Φ- 360^∘
43,2,inline_math,REAL,pylatexenc,2\Phi = 2 \times \frac{180}{\sqrt{2}} = \frac{360}{\sqrt{2}} = 180\sqrt{2} \approx 254.56^\circ,2Φ= 2 ×180/√(2) = 360/√(2) = 180√(2) ≈254.56^∘
44,2,inline_math,REAL,pylatexenc,2\Phi - 360^\circ = 180\sqrt{2} - 360^\circ \approx 254.56^\circ - 360^\circ = -105.44^\circ,2Φ- 360^∘= 180√(2) - 360^∘≈254.56^∘- 360^∘= -105.44^∘
45,2,inline_math,REAL,pylatexenc,F(r) = -k r^n,F(r) = -k r^n
46,2,inline_math,TRIVIAL,none,k,
47,2,inline_math,REAL,pylatexenc,n = -2,n = -2
48,2,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+n},Φ= π/√(3+n)
49,2,inline_math,REAL,pylatexenc,n \neq -2,n ≠-2
50,2,inline_math,REAL,pylatexenc,n \le -3,n ≤-3
51,2,inline_math,REAL,pylatexenc,\Phi,Φ
52,3,display_math,REAL,pylatexenc,"\[
\begin{aligned}
\mathrm{apsidal\_kepler\_deg} &= 180 \\
\mathrm{apsidal\_harmonic\_deg} &= 90 \\
\mathrm{apsidal\_n\_minus1\_deg} &= 127.28 \\
\mathrm{precession\_per\_period\_deg} &= -127.28
\end{aligned}
\]",apsidal_kepler_deg = 180 apsidal_harmonic_deg = 90 apsidal_n_minus1_deg = 127.28 precession_per_period_deg = -127.28
53,3,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+n},Φ= π/√(3+n)
54,3,inline_math,REAL,pylatexenc,n = -2,n = -2
55,3,inline_math,REAL,pylatexenc,\Phi = \pi / \sqrt{3 + (-2)} = \pi / \sqrt{1} = \pi,Φ= π/ √(3 + (-2)) = π/ √(1) = π
56,3,inline_math,REAL,pylatexenc,\Phi = \pi \times \frac{180}{\pi} = 180^\circ,Φ= π×180/π = 180^∘
57,3,inline_math,REAL,pylatexenc,n = +1,n = +1
58,3,inline_math,REAL,pylatexenc,\Phi = \pi / \sqrt{3 + 1} = \pi / \sqrt{4} = \pi / 2,Φ= π/ √(3 + 1) = π/ √(4) = π/ 2
59,3,inline_math,REAL,pylatexenc,\Phi = (\pi / 2) \times \frac{180}{\pi} = 90^\circ,Φ= (π/ 2) ×180/π = 90^∘
60,3,inline_math,REAL,pylatexenc,n = -1,n = -1
61,3,inline_math,REAL,pylatexenc,\Phi = \pi / \sqrt{3 + (-1)} = \pi / \sqrt{2},Φ= π/ √(3 + (-1)) = π/ √(2)
62,3,inline_math,REAL,pylatexenc,\Phi = (\pi / \sqrt{2}) \times \frac{180}{\pi} = \frac{180}{\sqrt{2}} = 90\sqrt{2} \approx 127.28^\circ,Φ= (π/ √(2)) ×180/π = 180/√(2) = 90√(2) ≈127.28^∘
63,3,inline_math,REAL,pylatexenc,n = -1,n = -1
64,3,inline_math,REAL,pylatexenc,2\Phi - 360^\circ,2Φ- 360^∘
65,3,inline_math,REAL,pylatexenc,2\Phi - 360^\circ = 2 \times \frac{180}{\sqrt{2}} - 360^\circ = \frac{360}{\sqrt{2}} - 360^\circ = 360^\circ (\frac{1}{\sqrt{2}} - 1) \approx 360^\circ (0.707 - 1) = -127.28^\circ,2Φ- 360^∘= 2 ×180/√(2) - 360^∘= 360/√(2) - 360^∘= 360^∘(1/√(2) - 1) ≈360^∘(0.707 - 1) = -127.28^∘
66,3,inline_math,REAL,pylatexenc,F(r) = -k r^n,F(r) = -k r^n
67,3,inline_math,REAL,pylatexenc,n = -2,n = -2
68,3,inline_math,REAL,pylatexenc,\Phi,Φ
69,3,inline_math,REAL,pylatexenc,n = -2,n = -2
70,3,inline_math,REAL,pylatexenc,\Phi = 180^\circ,Φ= 180^∘
71,3,inline_math,REAL,pylatexenc,n = +1,n = +1
72,3,inline_math,REAL,pylatexenc,\Phi = 90^\circ,Φ= 90^∘
73,3,inline_math,REAL,pylatexenc,n = -1,n = -1
74,3,inline_math,REAL,pylatexenc,\Phi \approx 127.28^\circ,Φ≈127.28^∘
75,3,inline_math,REAL,pylatexenc,n \neq -2,n ≠-2
76,3,inline_math,REAL,pylatexenc,n \le -3,n ≤-3
77,3,inline_math,REAL,pylatexenc,n \le -3,n ≤-3
78,3,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+n},Φ= π/√(3+n)
79,4,display_math,REAL,pylatexenc,"\[
\begin{aligned}
\mathrm{apsidal\_kepler\_deg} &= 180 \\
\mathrm{apsidal\_harmonic\_deg} &= 90 \\
\mathrm{apsidal\_n\_minus1\_deg} &= 127.28 \\
\mathrm{precession\_per\_period\_deg} &= -105.44
\end{aligned}
\]",apsidal_kepler_deg = 180 apsidal_harmonic_deg = 90 apsidal_n_minus1_deg = 127.28 precession_per_period_deg = -105.44
80,4,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+n},Φ= π/√(3+n)
81,4,inline_math,REAL,pylatexenc,n = -2,n = -2
82,4,inline_math,REAL,pylatexenc,\Phi = \pi / \sqrt{3 + (-2)} = \pi / \sqrt{1} = \pi,Φ= π/ √(3 + (-2)) = π/ √(1) = π
83,4,inline_math,REAL,pylatexenc,\Phi = \pi \times \frac{180}{\pi} = 180^\circ,Φ= π×180/π = 180^∘
84,4,inline_math,REAL,pylatexenc,n = +1,n = +1
85,4,inline_math,REAL,pylatexenc,\Phi = \pi / \sqrt{3 + 1} = \pi / \sqrt{4} = \pi / 2,Φ= π/ √(3 + 1) = π/ √(4) = π/ 2
86,4,inline_math,REAL,pylatexenc,\Phi = (\pi / 2) \times \frac{180}{\pi} = 90^\circ,Φ= (π/ 2) ×180/π = 90^∘
87,4,inline_math,REAL,pylatexenc,n = -1,n = -1
88,4,inline_math,REAL,pylatexenc,\Phi = \pi / \sqrt{3 + (-1)} = \pi / \sqrt{2},Φ= π/ √(3 + (-1)) = π/ √(2)
89,4,inline_math,REAL,pylatexenc,\Phi = (\pi / \sqrt{2}) \times \frac{180}{\pi} = \frac{180}{\sqrt{2}} = 90\sqrt{2} \approx 127.28^\circ,Φ= (π/ √(2)) ×180/π = 180/√(2) = 90√(2) ≈127.28^∘
90,4,inline_math,REAL,pylatexenc,n = -1,n = -1
91,4,inline_math,REAL,pylatexenc,2\Phi - 360^\circ,2Φ- 360^∘
92,4,inline_math,REAL,pylatexenc,2\Phi = 2 \times \frac{180}{\sqrt{2}} = \frac{360}{\sqrt{2}} = 180\sqrt{2} \approx 254.56^\circ,2Φ= 2 ×180/√(2) = 360/√(2) = 180√(2) ≈254.56^∘
93,4,inline_math,REAL,pylatexenc,2\Phi - 360^\circ = 180\sqrt{2} - 360^\circ \approx 254.56^\circ - 360^\circ = -105.44^\circ,2Φ- 360^∘= 180√(2) - 360^∘≈254.56^∘- 360^∘= -105.44^∘
94,4,inline_math,REAL,pylatexenc,F(r) = -k r^n,F(r) = -k r^n
95,4,inline_math,REAL,pylatexenc,n = -2,n = -2
96,4,inline_math,REAL,pylatexenc,n \neq -2,n ≠-2
97,4,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+n},Φ= π/√(3+n)
98,4,inline_math,REAL,pylatexenc,n = -2,n = -2
99,4,inline_math,REAL,pylatexenc,\Phi = 180^\circ,Φ= 180^∘
100,4,inline_math,REAL,pylatexenc,n = +1,n = +1
101,4,inline_math,REAL,pylatexenc,\Phi = 90^\circ,Φ= 90^∘
102,4,inline_math,REAL,pylatexenc,n = -1,n = -1
103,4,inline_math,REAL,pylatexenc,\Phi \approx 127.28^\circ,Φ≈127.28^∘
104,4,inline_math,REAL,pylatexenc,n \le -3,n ≤-3
105,4,inline_math,REAL,pylatexenc,\Phi,Φ
106,4,inline_math,REAL,pylatexenc,n \le -3,n ≤-3
107,4,inline_math,REAL,pylatexenc,\Phi,Φ
108,5,display_math,REAL,pylatexenc,"\[
\begin{aligned}
\mathrm{apsidal\_kepler\_deg} &= 180 \\
\mathrm{apsidal\_harmonic\_deg} &= 90 \\
\mathrm{apsidal\_n\_minus1\_deg} &= 127.279 \\
\mathrm{precession\_per\_period\_deg} &= -105.442
\end{aligned}
\]",apsidal_kepler_deg = 180 apsidal_harmonic_deg = 90 apsidal_n_minus1_deg = 127.279 precession_per_period_deg = -105.442
109,5,inline_math,REAL,pylatexenc,F(r) = -k r^{n},F(r) = -k r^n
110,5,inline_math,REAL,pylatexenc,\Phi,Φ
111,5,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+n},Φ= π/√(3+n)
112,5,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3 + (-2)} = \pi/\sqrt{1} = \pi,Φ= π/√(3 + (-2)) = π/√(1) = π
113,5,inline_math,REAL,pylatexenc,\Phi = \pi \times 180/\pi = 180^\circ,Φ= π×180/π= 180^∘
114,5,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3 + 1} = \pi/\sqrt{4} = \pi/2,Φ= π/√(3 + 1) = π/√(4) = π/2
115,5,inline_math,REAL,pylatexenc,\Phi = (\pi/2) \times 180/\pi = 90^\circ,Φ= (π/2) ×180/π= 90^∘
116,5,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3 + (-1)} = \pi/\sqrt{2},Φ= π/√(3 + (-1)) = π/√(2)
117,5,inline_math,REAL,pylatexenc,\Phi = (\pi/\sqrt{2}) \times 180/\pi = 180/\sqrt{2} = 90\sqrt{2} \approx 127.279^\circ,Φ= (π/√(2)) ×180/π= 180/√(2) = 90√(2) ≈127.279^∘
118,5,inline_math,REAL,pylatexenc,n = -1,n = -1
119,5,inline_math,REAL,pylatexenc,F(r) = -k/r,F(r) = -k/r
120,5,inline_math,REAL,pylatexenc,r \to 0,r →0
121,5,inline_math,REAL,pylatexenc,n = -1,n = -1
122,5,inline_math,REAL,pylatexenc,\Phi \approx 127.279^\circ,Φ≈127.279^∘
123,5,inline_math,REAL,pylatexenc,\Phi = 180^\circ,Φ= 180^∘
124,5,inline_math,REAL,pylatexenc,\Phi = 90^\circ,Φ= 90^∘
125,5,inline_math,REAL,pylatexenc,2\Phi - 360^\circ,2Φ- 360^∘
126,5,inline_math,REAL,pylatexenc,2(127.279^\circ) - 360^\circ = 254.558^\circ - 360^\circ = -105.442^\circ,2(127.279^∘) - 360^∘= 254.558^∘- 360^∘= -105.442^∘
127,5,inline_math,REAL,pylatexenc,105.442^\circ,105.442^∘
128,5,inline_math,REAL,pylatexenc,n = -2,n = -2
129,5,inline_math,REAL,pylatexenc,n = +1,n = +1
130,5,inline_math,REAL,pylatexenc,n = -2,n = -2
131,5,inline_math,REAL,pylatexenc,\Phi = 180^\circ,Φ= 180^∘
132,5,inline_math,REAL,pylatexenc,n = +1,n = +1
133,5,inline_math,REAL,pylatexenc,\Phi = 90^\circ,Φ= 90^∘
134,5,inline_math,REAL,pylatexenc,n = -1,n = -1
135,5,inline_math,REAL,pylatexenc,n \le -3,n ≤-3
136,5,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+n},Φ= π/√(3+n)
137,5,inline_math,REAL,pylatexenc,n < -3,n < -3
138,6,display_math,REAL,pylatexenc,"\[
\begin{aligned}
\mathrm{apsidal\_kepler\_deg} &= 180 \\
\mathrm{apsidal\_harmonic\_deg} &= 90 \\
\mathrm{apsidal\_n\_minus1\_deg} &= 127.279 \\
\mathrm{precession\_per\_period\_deg} &= -105.442
\end{aligned}
\]",apsidal_kepler_deg = 180 apsidal_harmonic_deg = 90 apsidal_n_minus1_deg = 127.279 precession_per_period_deg = -105.442
139,6,inline_math,REAL,pylatexenc,F(r) = -k r^{n},F(r) = -k r^n
140,6,inline_math,REAL,pylatexenc,\Phi,Φ
141,6,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3+n},Φ= π/√(3+n)
142,6,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3 + (-2)} = \pi/\sqrt{1} = \pi,Φ= π/√(3 + (-2)) = π/√(1) = π
143,6,inline_math,REAL,pylatexenc,\pi \times 180/\pi = 180^\circ,π×180/π= 180^∘
144,6,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3 + 1} = \pi/\sqrt{4} = \pi/2,Φ= π/√(3 + 1) = π/√(4) = π/2
145,6,inline_math,REAL,pylatexenc,(\pi/2) \times 180/\pi = 90^\circ,(π/2) ×180/π= 90^∘
146,6,inline_math,REAL,pylatexenc,\Phi,Φ
147,6,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{3 + (-1)} = \pi/\sqrt{2},Φ= π/√(3 + (-1)) = π/√(2)
148,6,inline_math,REAL,pylatexenc,(\pi/\sqrt{2}) \times 180/\pi = 90\sqrt{2} \approx 127.279^\circ,(π/√(2)) ×180/π= 90√(2) ≈127.279^∘
149,6,inline_math,REAL,pylatexenc,n = -1,n = -1
150,6,inline_math,REAL,pylatexenc,F(r) = -k/r,F(r) = -k/r
151,6,inline_math,REAL,pylatexenc,V(r) = k \ln(r),V(r) = k ln(r)
152,6,inline_math,REAL,pylatexenc,2\Phi - 360^\circ,2Φ- 360^∘
153,6,inline_math,REAL,pylatexenc,\Phi \approx 127.279^\circ,Φ≈127.279^∘
154,6,inline_math,REAL,pylatexenc,2(127.279^\circ) - 360^\circ = 254.558^\circ - 360^\circ = -105.442^\circ,2(127.279^∘) - 360^∘= 254.558^∘- 360^∘= -105.442^∘
155,6,inline_math,REAL,pylatexenc,360^\circ - 105.442^\circ = 254.558^\circ,360^∘- 105.442^∘= 254.558^∘
156,6,inline_math,REAL,pylatexenc,\Phi = \pi/\sqrt{2},Φ= π/√(2)
157,6,inline_math,REAL,pylatexenc,\Phi,Φ
158,6,inline_math,REAL,pylatexenc,2\Phi - 360^\circ,2Φ- 360^∘
159,6,inline_math,REAL,pylatexenc,F \propto 1/r^2,F ∝1/r^2
160,6,inline_math,REAL,pylatexenc,n = -2,n = -2
161,6,inline_math,REAL,pylatexenc,F \propto r,F ∝r
162,6,inline_math,REAL,pylatexenc,n = +1,n = +1
163,6,inline_math,REAL,pylatexenc,n = -2,n = -2
164,6,inline_math,REAL,pylatexenc,\Phi = 180^\circ,Φ= 180^∘
165,6,inline_math,REAL,pylatexenc,n = +1,n = +1
166,6,inline_math,REAL,pylatexenc,\Phi = 90^\circ,Φ= 90^∘
167,6,inline_math,REAL,pylatexenc,n = -1,n = -1
168,6,inline_math,REAL,pylatexenc,-105.442^\circ,-105.442^∘
169,6,inline_math,REAL,pylatexenc,n \le -3,n ≤-3
170,6,inline_math,REAL,pylatexenc,V(r) = -k/(n+1)r^{n+1},V(r) = -k/(n+1)r^n+1
171,6,inline_math,REAL,pylatexenc,\Phi,Φ
172,6,inline_math,REAL,pylatexenc,n < -3,n < -3
173,6,inline_math,REAL,pylatexenc,n \le -3,n ≤-3
174,7,display_math,REAL,pylatexenc,"\[
\begin{aligned}
\mathrm{apsidal\_kepler\_deg} &= 180^\circ \\
\mathrm{apsidal\_harmonic\_deg} &= 90^\circ \\
\mathrm{apsidal\_n\_minus1\_deg} &= 127.28^\circ \\
\mathrm{precession\_per\_period\_deg} &= -105.44^\circ
\end{aligned}
\]",apsidal_kepler_deg = 180^∘apsidal_harmonic_deg = 90^∘apsidal_n_minus1_deg = 127.28^∘precession_per_period_deg = -105.44^∘
175,7,display_math,REAL,pylatexenc,$$\Phi = \frac{\pi}{\sqrt{3+n}}$$,Φ= π/√(3+n)
176,7,display_math,REAL,pylatexenc,$$\Phi = \frac{\pi}{\sqrt{3 + (-2)}} = \frac{\pi}{\sqrt{1}} = \pi \text{ radians}$$,Φ= π/√(3 + (-2)) = π/√(1) = π radians
177,7,display_math,REAL,pylatexenc,$$\Phi = \frac{\pi}{\sqrt{3 + 1}} = \frac{\pi}{\sqrt{4}} = \frac{\pi}{2} \text{ radians}$$,Φ= π/√(3 + 1) = π/√(4) = π/2 radians
178,7,display_math,REAL,pylatexenc,$$\Phi = \frac{\pi}{\sqrt{3 + (-1)}} = \frac{\pi}{\sqrt{2}} \text{ radians}$$,Φ= π/√(3 + (-1)) = π/√(2) radians
179,7,display_math,REAL,pylatexenc,$$\Phi = \frac{180^\circ}{\sqrt{2}} \approx \frac{180^\circ}{1.4142} \approx 127.279^\circ$$,Φ= 180^∘/√(2) ≈180^∘/1.4142 ≈127.279^∘
180,7,display_math,REAL,pylatexenc,$$\Delta \theta = 2\Phi - 360^\circ$$,Δθ= 2Φ- 360^∘
181,7,display_math,REAL,pylatexenc,$$\Delta \theta = 2 \left( \frac{180^\circ}{\sqrt{2}} \right) - 360^\circ = \frac{360^\circ}{\sqrt{2}} - 360^\circ = 360^\circ \left( \frac{1}{\sqrt{2}} - 1 \right)$$,Δθ= 2 ( 180^∘/√(2) ) - 360^∘= 360^∘/√(2) - 360^∘= 360^∘( 1/√(2) - 1 )
182,7,display_math,REAL,pylatexenc,$$\Delta \theta \approx 360^\circ (0.7071 - 1) = 360^\circ (-0.2929) \approx -105.44^\circ$$,Δθ≈360^∘(0.7071 - 1) = 360^∘(-0.2929) ≈-105.44^∘
183,7,inline_math,REAL,pylatexenc,\Phi,Φ
184,7,inline_math,REAL,pylatexenc,F(r) = -k r^n,F(r) = -k r^n
185,7,inline_math,REAL,pylatexenc,\Phi = \frac{\pi}{\sqrt{3+n}},Φ= π/√(3+n)
186,7,inline_math,REAL,pylatexenc,2\pi,2π
187,7,inline_math,REAL,pylatexenc,2\Phi,2Φ
188,7,inline_math,REAL,pylatexenc,2\pi,2π
189,7,inline_math,REAL,pylatexenc,n = -2,n = -2
190,7,inline_math,REAL,pylatexenc,\Phi = \frac{\pi}{\sqrt{3 + (-2)}} = \frac{\pi}{\sqrt{1}} = \pi \text{ radians},Φ= π/√(3 + (-2)) = π/√(1) = π radians
191,7,inline_math,PROSE,none,"
Converting to degrees: ",
192,7,inline_math,PROSE,none,".
(The radial period is ",
193,7,inline_math,REAL,pylatexenc,n = +1,n = +1
194,7,inline_math,REAL,pylatexenc,\Phi = \frac{\pi}{\sqrt{3 + 1}} = \frac{\pi}{\sqrt{4}} = \frac{\pi}{2} \text{ radians},Φ= π/√(3 + 1) = π/√(4) = π/2 radians
195,7,inline_math,PROSE,none,"
Converting to degrees: ",
196,7,inline_math,PROSE,none,".
(The radial period is ",
197,7,inline_math,REAL,pylatexenc,n = -1,n = -1
198,7,inline_math,REAL,pylatexenc,F(r) = -k r^{-1},F(r) = -k r^-1
199,7,inline_math,REAL,pylatexenc,\Phi = \frac{\pi}{\sqrt{3 + (-1)}} = \frac{\pi}{\sqrt{2}} \text{ radians},Φ= π/√(3 + (-1)) = π/√(2) radians
200,7,inline_math,PROSE,none,"
Converting to degrees:
",
201,7,inline_math,REAL,pylatexenc,\Phi = \frac{180^\circ}{\sqrt{2}} \approx \frac{180^\circ}{1.4142} \approx 127.279^\circ,Φ= 180^∘/√(2) ≈180^∘/1.4142 ≈127.279^∘
202,7,inline_math,REAL,pylatexenc,n = -1,n = -1
203,7,inline_math,REAL,pylatexenc,2\Phi,2Φ
204,7,inline_math,REAL,pylatexenc,360^\circ,360^∘
205,7,inline_math,REAL,pylatexenc,n = -1,n = -1
206,7,inline_math,REAL,pylatexenc,2\Phi = \frac{2\pi}{\sqrt{2}} = \pi\sqrt{2},2Φ= 2π/√(2) = π√(2)
207,7,inline_math,REAL,pylatexenc,\sqrt{2},√(2)
208,7,inline_math,REAL,pylatexenc,\Delta \theta = 2\Phi - 360^\circ,Δθ= 2Φ- 360^∘
209,7,inline_math,EMPTY,none,"
",
210,7,inline_math,REAL,pylatexenc,\Delta \theta = 2 \left( \frac{180^\circ}{\sqrt{2}} \right) - 360^\circ = \frac{360^\circ}{\sqrt{2}} - 360^\circ = 360^\circ \left( \frac{1}{\sqrt{2}} - 1 \right),Δθ= 2 ( 180^∘/√(2) ) - 360^∘= 360^∘/√(2) - 360^∘= 360^∘( 1/√(2) - 1 )
211,7,inline_math,EMPTY,none,"
",
212,7,inline_math,REAL,pylatexenc,\Delta \theta \approx 360^\circ (0.7071 - 1) = 360^\circ (-0.2929) \approx -105.44^\circ,Δθ≈360^∘(0.7071 - 1) = 360^∘(-0.2929) ≈-105.44^∘
213,7,inline_math,REAL,pylatexenc,n=-2,n=-2
214,7,inline_math,REAL,pylatexenc,n=1,n=1
215,7,inline_math,REAL,pylatexenc,n=-1,n=-1
216,7,inline_math,REAL,pylatexenc,n \le -3,n ≤-3
217,7,inline_math,REAL,pylatexenc,\Phi,Φ
218,7,inline_math,REAL,pylatexenc,\sqrt{3+n},√(3+n)
219,7,inline_math,REAL,pylatexenc,n = -3,n = -3
220,7,inline_math,REAL,pylatexenc,\Phi \to \infty,Φ→∞
221,7,inline_math,REAL,pylatexenc,n < -3,n < -3
222,7,inline_math,REAL,pylatexenc,\Phi,Φ
223,8,display_math,REAL,pylatexenc,"\[
\begin{aligned}
\mathrm{apsidal\_kepler\_deg} &= 180^\circ \\
\mathrm{apsidal\_harmonic\_deg} &= 90^\circ \\
\mathrm{apsidal\_n\_minus1\_deg} &= 127.28^\circ \\
\mathrm{precession\_per\_period\_deg} &= -105.44^\circ
\end{aligned}
\]",apsidal_kepler_deg = 180^∘apsidal_harmonic_deg = 90^∘apsidal_n_minus1_deg = 127.28^∘precession_per_period_deg = -105.44^∘
224,8,display_math,REAL,pylatexenc,$$\Phi = \frac{\pi}{\sqrt{3+n}}$$,Φ= π/√(3+n)
225,8,display_math,REAL,pylatexenc,$$\Phi = \frac{\pi}{\sqrt{3 + (-2)}} = \frac{\pi}{\sqrt{1}} = \pi \text{ radians}$$,Φ= π/√(3 + (-2)) = π/√(1) = π radians
226,8,display_math,REAL,pylatexenc,$$\Phi = \frac{\pi}{\sqrt{3 + 1}} = \frac{\pi}{\sqrt{4}} = \frac{\pi}{2} \text{ radians}$$,Φ= π/√(3 + 1) = π/√(4) = π/2 radians
227,8,display_math,REAL,pylatexenc,$$\Phi = \frac{\pi}{\sqrt{3 + (-1)}} = \frac{\pi}{\sqrt{2}} \text{ radians}$$,Φ= π/√(3 + (-1)) = π/√(2) radians
228,8,display_math,REAL,pylatexenc,$$\Phi = \frac{180^\circ}{\sqrt{2}} \approx \frac{180^\circ}{1.4142} \approx 127.279^\circ$$,Φ= 180^∘/√(2) ≈180^∘/1.4142 ≈127.279^∘
229,8,display_math,REAL,pylatexenc,$$\Delta \theta = 2\Phi - 360^\circ$$,Δθ= 2Φ- 360^∘
