model_name,metric,row_count,pass_count,fail_count,mean,median,min,max,PASS_mean,FAIL_mean,PASS_minus_FAIL_mean_gap,simple_effect_size,correlation_with_deterministic_pass
Gemma 3 27B IT,roscoe_available_mean,32,16,16,0.9658145375549794,0.9754539608955384,0.8854745507240296,0.9865517497062684,0.9737329289317131,0.9578961461782456,0.01583678275346756,0.748915434014163,0.36070328678281743
Gemma 3 27B IT,selected_roscoe_score,32,16,16,0.9489484000951052,0.9621460437774658,0.8601073026657104,0.9814419746398926,0.9608752094209194,0.9370215907692909,0.023853618651628494,0.8841670620927742,0.4153376426138814
Gemma 4 31B IT,informativeness_chain,32,27,5,0.9854896273463964,0.9947831630706787,0.9052643179893494,0.9997669458389282,0.9881544576750861,0.9710995435714722,0.017054914103613927,0.5850531654450946,0.29492968031893285
Gemma 4 31B IT,informativeness_step,32,27,5,0.9561788495630026,0.9673433303833008,0.8555283546447754,0.99314284324646,0.9635696433208607,0.9162685632705688,0.04730108005029188,1.1999422315886288,0.5095565910064606
Gemma 4 31B IT,reasoning_alignment,32,27,5,0.948577644303441,0.9610357880592346,0.8200947046279907,0.9890472888946533,0.9548888912907353,0.914496910572052,0.04039198071868333,0.8270215411524598,0.38349006796616325
Gemma 4 31B IT,repetition_step,32,27,5,0.02586941048502922,0.03336825966835022,0.0,0.03530427813529968,0.026793506410386827,0.020879292488098146,0.005914213922288681,0.4122888945330227,0.17651392510378053
Gemma 4 31B IT,semantic_coverage_chain,32,27,5,0.9854896273463964,0.9947831630706787,0.9052643179893494,0.9997669458389282,0.9881544576750861,0.9710995435714722,0.017054914103613927,0.5850531654450946,0.29492968031893285
Gemma 4 31B IT,semantic_coverage_step,32,27,5,0.948577644303441,0.9610357880592346,0.8200947046279907,0.9890472888946533,0.9548888912907353,0.914496910572052,0.04039198071868333,0.8270215411524598,0.38349006796616325
Gemma 4 31B IT,roscoe_available_mean,32,27,5,0.9648626785725355,0.9732916831970215,0.8612492799758911,0.9934968948364258,0.9699312682505007,0.9374922943115235,0.03243897393897721,0.8575202494379377,0.3999728577839108
Gemma 4 31B IT,selected_roscoe_score,32,27,5,0.948577644303441,0.9610357880592346,0.8200947046279907,0.9890472888946533,0.9548888912907353,0.914496910572052,0.04039198071868333,0.8270215411524598,0.38349006796616325
Granite 4.1 8B,informativeness_chain,29,19,10,0.9263008524631632,0.9338434934616089,0.8684898614883423,0.980512261390686,0.9323560752366719,0.9147959291934967,0.01756014604317513,0.6638825916776577,0.3027974459035292
Granite 4.1 8B,informativeness_step,29,19,10,0.867153642506435,0.8673155903816223,0.8181531429290771,0.9402519464492798,0.8806408235901281,0.8415279984474182,0.03911282514270986,1.726103372002513,0.6159475036108752
Granite 4.1 8B,reasoning_alignment,29,19,10,0.8465233671254125,0.8474037051200867,0.7834432125091553,0.9248874187469482,0.8629399004735445,0.8153319537639618,0.04760794670958268,2.0347076832901174,0.684208190712706
Granite 4.1 8B,repetition_step,29,19,10,0.01656607512770028,0.01618194580078125,0.0,0.04156869649887085,0.021193383555663258,0.007774189114570618,0.01341919444109264,1.0442571732269401,0.4442383765722778
Granite 4.1 8B,semantic_coverage_chain,29,19,10,0.9263008524631632,0.9338434934616089,0.8684898614883423,0.980512261390686,0.9323560752366719,0.9147959291934967,0.01756014604317513,0.6638825916776577,0.3027974459035292
Granite 4.1 8B,semantic_coverage_step,29,19,10,0.8465233671254125,0.8474037051200867,0.7834432125091553,0.9248874187469482,0.8629399004735445,0.8153319537639618,0.04760794670958268,2.0347076832901174,0.684208190712706
Granite 4.1 8B,roscoe_available_mean,29,19,10,0.8825604163367172,0.8799872636795044,0.8489416837692261,0.9390551090240479,0.8942465550021121,0.860356752872467,0.0338898021296451,1.7192493332193453,0.6101562200756928
Granite 4.1 8B,selected_roscoe_score,29,19,10,0.8465233671254125,0.8474037051200867,0.7834432125091553,0.9248874187469482,0.8629399004735445,0.8153319537639618,0.04760794670958268,2.0347076832901174,0.684208190712706
Llama 3.1 8B Instruct,informativeness_chain,31,10,21,0.9803161544184531,0.9919031858444214,0.9222744703292847,0.9974417686462402,0.9873759746551514,0.9769543352581206,0.01042163939703078,0.4897439006701064,0.2245935404465807
Llama 3.1 8B Instruct,informativeness_step,31,10,21,0.9296946813983302,0.9421409368515015,0.7790209054946899,0.982812225818634,0.954004317522049,0.9181186641965594,0.03588565332548954,0.731218119184895,0.31853662504925656
Llama 3.1 8B Instruct,reasoning_alignment,31,10,21,0.9317758064116201,0.9403667449951172,0.7904766201972961,0.9714383482933044,0.9510790526866912,0.922583784375872,0.028495268310819277,0.6631091133947516,0.2867194151403537
Llama 3.1 8B Instruct,repetition_step,31,10,21,0.02351646750204025,0.030413955450057983,0.0,0.05812743306159973,0.021743831038475037,0.024360580103737966,-0.0026167490652629286,-0.17179828482568174,-0.08337928670676258
Llama 3.1 8B Instruct,semantic_coverage_chain,31,10,21,0.9803161544184531,0.9919031858444214,0.9222744703292847,0.9974417686462402,0.9873759746551514,0.9769543352581206,0.01042163939703078,0.4897439006701064,0.2245935404465807
Llama 3.1 8B Instruct,semantic_coverage_step,31,10,21,0.9317758064116201,0.9403667449951172,0.7904766201972961,0.9714383482933044,0.9510790526866912,0.922583784375872,0.028495268310819277,0.6631091133947516,0.2867194151403537
Llama 3.1 8B Instruct,roscoe_available_mean,31,10,21,0.9507757206116954,0.9605406641960144,0.8411206007003784,0.9835747122764588,0.9661828744411468,0.9434389806929089,0.02274389374823793,0.655131928362923,0.287631723843241
Llama 3.1 8B Instruct,selected_roscoe_score,31,10,21,0.9317758064116201,0.9403667449951172,0.7904766201972961,0.9714383482933044,0.9510790526866912,0.922583784375872,0.028495268310819277,0.6631091133947516,0.2867194151403537
Ministral 3 8B,informativeness_chain,32,12,20,0.9634938612580299,0.9714866876602173,0.8604453206062317,0.9998824596405029,0.9801356246074041,0.9535088032484055,0.02662682135899863,0.8863719343280161,0.3998725105033361
Ministral 3 8B,informativeness_step,32,12,20,0.9229867700487375,0.9379421472549438,0.837604284286499,0.9850480556488037,0.9514488180478414,0.9059095412492753,0.045539276798566175,1.3876037991273542,0.5588053649805705
Ministral 3 8B,reasoning_alignment,32,12,20,0.9147625248879194,0.9242213666439056,0.8221812844276428,0.9771469235420227,0.9438733259836832,0.8972960442304612,0.046577281753222066,1.4122004257068794,0.561834959732982
Ministral 3 8B,repetition_step,32,12,20,0.022379145957529545,0.0318911075592041,0.0,0.04156869649887085,0.027249353627363842,0.01945702135562897,0.007792332271734873,0.5449926507744125,0.2549517594990506
Ministral 3 8B,semantic_coverage_chain,32,12,20,0.9634938612580299,0.9714866876602173,0.8604453206062317,0.9998824596405029,0.9801356246074041,0.9535088032484055,0.02662682135899863,0.8863719343280161,0.3998725105033361
Ministral 3 8B,semantic_coverage_step,32,12,20,0.9147625248879194,0.9242213666439056,0.8221812844276428,0.9771469235420227,0.9438733259836832,0.8972960442304612,0.046577281753222066,1.4122004257068794,0.561834959732982
Ministral 3 8B,roscoe_available_mean,32,12,20,0.9358999084681272,0.9432163894176484,0.8469070196151733,0.987821364402771,0.9598933438460032,0.9215038472414017,0.03838949660460156,1.2790570699025963,0.5308021381061181
Ministral 3 8B,selected_roscoe_score,32,12,20,0.9147625248879194,0.9242213666439056,0.8221812844276428,0.9771469235420227,0.9438733259836832,0.8972960442304612,0.046577281753222066,1.4122004257068794,0.561834959732982
Mistral NeMo 12B,informativeness_chain,32,4,28,0.9860764257609844,0.994153618812561,0.9086415767669678,0.9986593723297119,0.9919492304325104,0.9852374536650521,0.006711776767458266,0.4307744637795237,0.11335561282392556
Mistral NeMo 12B,informativeness_step,32,4,28,0.9422230180352926,0.948461651802063,0.86966872215271,0.9866231679916382,0.9541527479887009,0.9405187708990914,0.01363397708960945,0.443492128103897,0.17863770324698525
Mistral NeMo 12B,reasoning_alignment,32,4,28,0.9410737529397011,0.9452378153800964,0.8755019903182983,0.9779743552207947,0.9517270475625992,0.9395518537078585,0.01217519385474064,0.42029874260812644,0.16664876741986628
Mistral NeMo 12B,repetition_step,32,4,28,0.02903125900775194,0.03336825966835022,0.0,0.04156869649887085,0.03336825966835022,0.02841168748480933,0.00495657218354089,0.6301994177956282,0.15841497067744037
Mistral NeMo 12B,semantic_coverage_chain,32,4,28,0.9860764257609844,0.994153618812561,0.9086415767669678,0.9986593723297119,0.9919492304325104,0.9852374536650521,0.006711776767458266,0.4307744637795237,0.11335561282392556
Mistral NeMo 12B,semantic_coverage_step,32,4,28,0.9410737529397011,0.9452378153800964,0.8755019903182983,0.9779743552207947,0.9517270475625992,0.9395518537078585,0.01217519385474064,0.42029874260812644,0.16664876741986628
Mistral NeMo 12B,roscoe_available_mean,32,4,28,0.9593046750873327,0.965239417552948,0.8875911712646485,0.9879781246185303,0.968301060795784,0.9580194771289825,0.010281583666801541,0.462205876340525,0.1612227569058933
Mistral NeMo 12B,selected_roscoe_score,32,4,28,0.9410737529397011,0.9452378153800964,0.8755019903182983,0.9779743552207947,0.9517270475625992,0.9395518537078585,0.01217519385474064,0.42029874260812644,0.16664876741986628
Mistral Small 3.2 24B Instruct,informativeness_chain,32,14,18,0.9941149782389402,0.996809184551239,0.9473049640655518,0.9997939467430115,0.9972139171191624,0.9917046924432119,0.005509224675950497,0.628503978727187,0.2901626902847995
Mistral Small 3.2 24B Instruct,informativeness_step,32,14,18,0.959525253623724,0.9612640738487244,0.9236748218536377,0.9861739873886108,0.97413427063397,0.948162684837977,0.025971585795992902,1.837731891995376,0.6850423374806088
Mistral Small 3.2 24B Instruct,reasoning_alignment,32,14,18,0.9559270925819874,0.9576804637908936,0.9114581346511841,0.9799416065216064,0.9700171819755009,0.9449681341648102,0.025049047810690728,2.1497321945436414,0.7276221916682143
Mistral Small 3.2 24B Instruct,repetition_step,32,14,18,0.027346444316208363,0.03336825966835022,0.0,0.03530427813529968,0.03034781345299312,0.025012046098709106,0.0053357673542840135,0.48258807944658316,0.23516079318558325
Mistral Small 3.2 24B Instruct,semantic_coverage_chain,32,14,18,0.9941149782389402,0.996809184551239,0.9473049640655518,0.9997939467430115,0.9972139171191624,0.9917046924432119,0.005509224675950497,0.628503978727187,0.2901626902847995
Mistral Small 3.2 24B Instruct,semantic_coverage_step,32,14,18,0.9559270925819874,0.9576804637908936,0.9114581346511841,0.9799416065216064,0.9700171819755009,0.9449681341648102,0.025049047810690728,2.1497321945436414,0.7276221916682143
Mistral Small 3.2 24B Instruct,roscoe_available_mean,32,14,18,0.9719218790531159,0.9740939497947694,0.9284746170043945,0.9882602691650391,0.9817192937646594,0.9643016676108043,0.017417626153855115,1.8605086782053977,0.6742342557797378
Mistral Small 3.2 24B Instruct,selected_roscoe_score,32,14,18,0.9559270925819874,0.9576804637908936,0.9114581346511841,0.9799416065216064,0.9700171819755009,0.9449681341648102,0.025049047810690728,2.1497321945436414,0.7276221916682143
