batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,bertscore_no_final_f1,bertscore_full_f1,human_label_if_available,source_run_id
V4,CM_KAPITZA_001,Classical Mechanics,Mistral Small 3.2 24B Instruct,FAIL,f_min_hz:MISMATCH;omega_min_rad_s:MISMATCH,f_min_hz;omega_min_rad_s,0.9408732652664185,0.7007976770401001,,ec03508e-f8ed-498f-9a9c-f2bd032d5130
V3,CM_APSIDAL_001,Classical Mechanics,Mistral NeMo 12B,FAIL,apsidal_n_minus1_deg:MISMATCH;precession_per_period_deg:MISMATCH,apsidal_n_minus1_deg;precession_per_period_deg,0.9390004277229309,0.5726111531257629,,4e065114-6895-4037-9f9c-d85e9790bfc5
V4,STAT_LANDAUER_001,Statistical Mechanics,Mistral Small 3.2 24B Instruct,FAIL,landauer_meV:MISMATCH;landauer_zJ:MISMATCH,landauer_meV;landauer_zJ,0.9378304481506348,0.7366743087768555,,da4ea072-41a1-4b37-b488-090c88c329b3
V4,CM_KAPITZA_001,Classical Mechanics,Gemma 3 27B IT,FAIL,f_min_hz:MISMATCH;omega_min_rad_s:MISMATCH,f_min_hz;omega_min_rad_s,0.93763267993927,0.685945451259613,,cc0939dc-5379-4225-915b-cef4d5883b59
V2,QI_TELEPORT_001,Quantum Information Theory,Ministral 3 8B,FAIL,classical_limit:UNPARSEABLE:parse-fail:TokenError,classical_limit,0.9328635334968567,0.6554336547851562,,9584a665-3773-4c3a-a6fd-e7fe2777cbbb
V5,QM_RT_001,Quantum Mechanics,Mistral Small 3.2 24B Instruct,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,0.9319456815719604,0.7448796629905701,,d765a40d-fb04-4ffc-9811-18c108bbbc6d
V3,QI_WERNER_001,Quantum Information Theory,Mistral NeMo 12B,FAIL,concurrence_at_p05:MISMATCH,concurrence_at_p05,0.9309871792793274,0.6312395930290222,,739669d7-f24b-48b0-aaa4-7ea7484fd9f5
V5,CM_TOP_001,Classical Mechanics,Mistral NeMo 12B,FAIL,precession_double_spin:MISMATCH;precession_period_s:MISMATCH;precession_rad_s:MISMATCH,precession_double_spin;precession_period_s;precession_rad_s,0.929962694644928,0.6613144874572754,,9cabff0f-1401-4d81-a9ab-0c356b747793
V5,COS_AGE_001,Cosmology,Mistral NeMo 12B,FAIL,hubble_time_gyr:MISMATCH;lcdm_age_gyr:MISMATCH;matter_age_gyr:MISMATCH,hubble_time_gyr;lcdm_age_gyr;matter_age_gyr,0.9256247878074646,0.7113699316978455,,5f80e95a-cfa7-40e3-8d99-042b87848d45
V2,COS_CMB_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,log10_energy_ratio:MISMATCH;log10_number_ratio:MISMATCH,log10_energy_ratio;log10_number_ratio,0.9242789149284363,0.6527453660964966,,2d1f22bc-291c-4722-88c7-cc1fed3ce53d
