batch,scenario_id,category,model_name,deterministic_grade,error_tags,failed_fields,rouge_l_f1,rouge_l_precision,rouge_l_recall,bertscore_no_final_f1,source_run_id
V5,COS_AGE_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,lcdm_age_gyr:MISMATCH,lcdm_age_gyr,0.9466666666666667,0.9260869565217391,0.9681818181818181,0.9474597573280334,1ee8b3c0-af92-4328-a2c2-8a46d9dacbde
V5,COS_AGE_001,Cosmology,Mistral NeMo 12B,FAIL,hubble_time_gyr:MISMATCH;lcdm_age_gyr:MISMATCH;matter_age_gyr:MISMATCH,hubble_time_gyr;lcdm_age_gyr;matter_age_gyr,0.9466666666666667,0.9260869565217391,0.9681818181818181,0.9256247878074646,5f80e95a-cfa7-40e3-8d99-042b87848d45
V5,QM_RT_001,Quantum Mechanics,Mistral NeMo 12B,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,0.9459459459459459,0.9315589353612167,0.9607843137254902,0.9194458723068237,f0e190c3-9e26-497d-b03e-d9b4ab60e01d
V4,QI_HOLEVO_001,Quantum Information Theory,Mistral NeMo 12B,FAIL,avg_state_purity:MISMATCH;eigenvalue_large:MISMATCH;holevo_chi_bits:MISMATCH,avg_state_purity;eigenvalue_large;holevo_chi_bits,0.9458333333333334,0.9190283400809717,0.9742489270386266,0.9226306676864624,cb6bf16d-0fdc-4ac2-8b99-584645552174
V2,SR_ROCKET_001,Special Relativity,Gemma 3 27B IT,FAIL,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,0.9453781512605043,0.9259259259259259,0.9656652360515021,0.9652096629142761,0fdbc6f7-aa2f-4d13-85e3-1de67d52d0f1
V2,SR_ROCKET_001,Special Relativity,Mistral Small 3.2 24B Instruct,FAIL,distance_ly:MISMATCH;final_beta:MISMATCH;lab_time_yr:MISMATCH,distance_ly;final_beta;lab_time_yr,0.9453781512605043,0.9259259259259259,0.9656652360515021,0.9719769358634949,8dd9d539-5113-456a-ad1b-2987c0bf85c9
V2,SR_ROCKET_001,Special Relativity,Mistral NeMo 12B,FAIL,distance_ly:UNPARSEABLE:parse-fail:TokenError;final_beta:MISMATCH;lab_time_yr:UNPARSEABLE:parse-fail:TokenError,distance_ly;final_beta;lab_time_yr,0.9453781512605043,0.9259259259259259,0.9656652360515021,0.8634365200996399,dc36a2b4-f64b-443a-b417-a32edd88612a
V3,CM_APSIDAL_001,Classical Mechanics,Mistral NeMo 12B,FAIL,apsidal_n_minus1_deg:MISMATCH;precession_per_period_deg:MISMATCH,apsidal_n_minus1_deg;precession_per_period_deg,0.9426433915211969,0.9264705882352942,0.9593908629441624,0.9390004277229309,4e065114-6895-4037-9f9c-d85e9790bfc5
V2,STAT_ISING_001,Statistical Mechanics,Mistral NeMo 12B,FAIL,ratio_exact_mf:MISMATCH;tc_exact:MISMATCH,ratio_exact_mf;tc_exact,0.9409090909090909,0.9039301310043668,0.981042654028436,0.9059381484985352,1578b708-15cc-4472-862d-060fbdc5e95c
V5,QM_RT_001,Quantum Mechanics,Llama 3.1 8B Instruct,FAIL,energy_unit_ev:MISMATCH;first_resonance_ev:MISMATCH,energy_unit_ev;first_resonance_ev,0.9391634980988592,0.9114391143911439,0.9686274509803922,0.8980153203010559,43ea794a-fa6a-4182-ba45-e3d69a685917
